Student_ID,Gender,Age,ParentEducation,StudyHoursPerWeek,AttendanceRate,InternetAccess,MidtermScore,FinalScore
465,Female,22,Master's,19.1,64.81,No,51.41,90.47
466,Male,22,None,9.4,81.37,No,80.62,78.92
467,Female,18,High School,8,71,No,82.77,74.18
468,Female,19,None,22.3,53.06,Yes,99.12,82.45
469,Female,19,High School,13.5,74.47,Yes,72.48,65.76
470,Female,20,High School,30,90.67,No,56.28,45.48
471,Female,23,PhD,27.4,54.94,No,81.02,97.74
472,Male,23,PhD,19.1,53.48,Yes,98.76,65.94
473,Male,23,High School,21,57.68,No,50.63,79.92
474,Male,21,Bachelor's,9,88.22,No,59.56,71.88
475,Female,19,None,27.4,86.2,Yes,72.51,43.28
476,Male,20,PhD,16.5,78.25,Yes,50.21,97.16
477,Female,22,High School,18,73.41,Yes,41.33,87.55
478,Female,24,Bachelor's,26.8,94.42,No,60.22,48.95
479,Male,23,High School,5.2,88.33,No,91.92,98.9
480,Female,22,Master's,17.4,90.6,Yes,42.61,84.21
481,Male,22,High School,20.7,90.66,No,65.74,68.34
482,Female,18,Master's,9,82.14,No,85.73,76.68
483,Female,21,PhD,6.7,72.9,No,97.19,46.4
484,Male,20,PhD,18.4,93.23,Yes,99.13,73.62
485,Female,21,High School,18.7,96.3,Yes,65.32,44.42
486,Male,18,PhD,13.3,51.19,Yes,97.02,72.69
487,Female,20,High School,27.1,52.58,Yes,42.13,73.16
488,Male,20,High School,12.5,97.94,No,84.76,92.47
489,Female,19,Master's,17.9,63.86,Yes,78.56,83.5
490,Male,21,None,9.7,93.67,Yes,54.97,54.97
491,Male,21,High School,5.3,69.44,No,70.44,93.31
492,Female,19,None,15.7,55.96,No,47.77,74.39
493,Male,22,Bachelor's,18.2,54.02,Yes,92.3,76.38
494,Female,18,PhD,24.1,57.83,Yes,61.47,50.14
495,Female,21,Bachelor's,16.2,62.49,Yes,77.56,91.47
496,Male,19,Bachelor's,12,74.43,No,49.53,95.86
497,Male,24,High School,20.1,85.07,Yes,52.37,86.5
498,Male,20,Bachelor's,14.5,99.32,Yes,99.52,96.45
499,Male,23,High School,10.8,72.08,Yes,85.19,58.14
500,Male,24,PhD,27.8,75.91,No,97.72,91.67
